133403	124810	133548	135385	119389	120006	139109	129395	113278	120329	110891	135236	118847	108909	103920	124759	117070	124473	123142	124989	129750	130468	120635	118732	135402	130395	135118	135403	116121	138772	105565	139608	113506	137489	132977	115013	128587	120679	107435	125640	129019	122623	141354	131080	127748	132261	115548	128393	140325	139123	135863	126314	121499	118956	130131	145686	134741	127825	
147320	150455	154028	135836	151565	149950	160894	159360	147032	147541	129542	165223	162411	142403	147713	160638	141991	153721	149001	147619	175983	151463	152047	142535	168921	158913	179753	154900	138647	155997	127621	154241	132894	167580	152061	155895	139156	155121	138111	161580	154839	157319	163076	141755	155344	149523	126623	150104	176125	163654	151967	141267	158579	148244	150444	168884	151645	173925	
130602	127847	155397	130514	130827	125836	144741	152298	126543	132078	128177	156616	149995	131234	129972	153268	137856	132856	130458	139537	150279	158078	146048	136348	155275	135652	159787	146716	130444	150903	108468	143914	126709	155510	140119	139295	135988	129299	126305	142087	152810	131962	146047	130281	147296	158042	114119	132746	163762	152684	133770	136007	148927	144882	155596	159732	144878	154158	
136991	124119	140471	130554	134573	118330	143289	134479	115923	120751	114097	142719	122780	126802	115538	131202	120529	132331	124899	127172	135352	139532	130696	132796	146949	126493	148135	141958	111501	147595	120018	136292	125031	129617	125623	133863	116107	124388	108057	139635	139440	135236	141377	116355	127844	134937	116729	125431	142423	140480	134767	126167	132049	127067	133862	144542	138746	147039	
108891	104426	117148	112991	113614	98528	113344	105830	106928	106903	99284	121991	101711	99615	95088	108828	100886	107768	113992	106309	135376	109623	104844	105622	125949	123694	127394	109971	95338	125631	97901	108128	94278	111271	102797	111322	102937	115898	95675	112308	125626	105543	123644	95664	105089	103111	99037	93047	123611	118579	120167	108666	105201	102566	96408	110288	108448	131180	
159982	152064	160526	144146	152224	145610	164551	152278	137510	145490	137702	163762	159437	155364	130181	151076	140201	149109	151043	146359	166283	152728	154229	143035	169718	164708	180064	158259	141412	163668	131098	155628	142441	167113	144519	148728	148043	145818	138882	165063	166978	149283	156963	151995	162064	156395	134514	155693	181366	161760	170730	160319	158327	141817	153830	161214	154172	168801	
157388	139505	172714	145963	132901	138940	154771	146954	139484	147807	128054	167005	152952	135393	139087	156470	143233	155727	135306	140286	163257	158334	151492	142232	163793	146731	172894	163428	135511	160179	136259	164633	129952	152369	149704	152249	145344	146486	127368	146143	167048	154507	155236	137464	149853	155476	131483	147327	180365	156732	154470	156475	148869	157167	149405	164846	150275	163099	
152803	147256	156833	140327	131091	137440	154324	151080	134768	149646	134822	168464	147722	133443	136773	148172	140849	147013	131430	147665	155328	154826	159855	146503	165194	141215	165597	151670	132256	161456	124349	165914	132687	155221	152176	143467	144284	133792	124506	138089	168864	141627	159614	138264	137475	156835	134800	141223	163276	161677	147400	151357	147030	157254	150953	163858	152472	171595	
126829	116004	129067	126939	128259	125800	124283	113520	112185	121330	111886	138447	118212	112423	115765	119057	118103	121671	130319	123503	139576	127749	119927	113720	129913	126231	139603	126066	118939	149691	109664	131899	108842	136768	117358	128687	109774	124149	113059	125932	136862	96948	130304	106670	121597	119500	108484	116392	134562	136514	127155	117725	119962	116796	122905	119985	127275	138887	
139494	148392	149731	125903	134207	124783	160117	150270	130389	130222	124546	154683	151899	135875	133848	159044	127439	145542	129929	123363	147436	144751	143919	133921	161529	129318	160548	149318	113553	139399	120082	147944	121551	139057	137247	148236	140072	140541	113744	138956	145325	131994	146559	130430	136946	152429	127668	134242	165773	137268	150019	139096	136951	147998	144772	160226	143077	156388	
150726	141463	152200	152046	146117	147221	151586	151500	142179	138861	131420	171696	152570	140088	139406	152024	138329	141483	135110	145467	168642	157820	143688	149442	178242	147027	175568	146991	143622	167869	127426	157448	145897	170734	144244	153171	133610	144750	115757	152348	174467	153805	148583	130193	148714	159533	122652	142094	176241	156703	146293	133922	151178	155486	146501	149575	153009	166285	
179108	174492	178309	166672	166657	173553	185891	175964	154290	170353	155040	200627	181664	172317	158675	180721	177463	166284	170206	169288	200193	166041	173219	164468	196762	185989	196666	184833	162735	173494	150331	178458	147408	189567	174216	172851	166822	172405	145486	179908	188633	177729	186612	163833	176729	187223	149928	165160	200466	177937	182913	169527	166937	175322	180841	187957	175457	188392	
140169	130384	149007	142279	159217	126808	158078	158380	126844	131744	127879	173596	146418	131162	138400	154707	126697	141723	135197	142402	165195	151952	145766	143988	154656	148559	166337	143274	135739	166479	124084	159400	138115	158441	138858	155169	129538	136078	125522	145405	166264	150774	159855	123075	144148	160806	127883	146627	168412	164499	135732	141899	149067	146457	144757	156950	144711	165623	
141638	145660	146650	138486	148131	126648	171138	157069	121494	140464	124036	154007	147194	136560	128757	154187	137645	154629	131377	151923	158948	145847	154514	153224	161055	141949	173570	143684	137061	149957	116353	155741	127853	150017	143744	154158	149790	151733	118290	152992	161465	131686	167695	150252	147399	151600	133960	139388	183268	150655	144586	156003	157765	141416	147343	164446	139273	164539	
158895	144905	163516	139304	149615	133409	159278	160688	136657	144102	127225	168816	151007	133885	148942	148965	143014	151996	133815	149897	162790	145591	148733	148205	160512	147342	173149	151317	148020	169560	122939	165780	139641	165230	146610	152665	144967	152221	138345	159095	181045	154537	149411	134626	151156	159878	125337	151648	177887	164322	155815	153731	155739	150406	152667	168241	154061	173338	
139433	136954	139588	123958	133457	125309	127049	131985	115337	138664	117171	153323	135833	120886	118676	137588	135843	142373	125018	127728	160485	142704	139970	127124	143255	128354	141079	137115	122699	152279	127936	140269	127436	149330	128059	142097	125707	138065	113829	148598	144870	129274	143392	118366	130316	131183	112420	123129	148446	142717	132056	130045	137170	132061	127227	142311	139916	149486	
144019	132334	141060	129607	128141	129055	141528	133127	108561	132289	108423	148574	120674	127538	119416	128566	124375	138139	118433	124916	149595	146381	129189	126255	143716	135998	142499	133140	128893	139157	109644	133923	119677	135665	124251	127224	116396	125201	114552	131493	138991	133514	141929	125958	137019	135092	114151	136807	141850	135076	142814	131433	131521	119361	140706	134915	127883	150006	
130648	123886	132804	113651	118478	122848	140157	128016	111655	115825	105278	127037	120966	104042	118969	126947	124569	133901	117433	121966	150560	126050	129253	126546	146021	127040	129618	137635	114984	134309	113177	141837	110174	131589	130742	132934	115429	127126	98022	131920	142687	126407	134570	120315	124512	129697	107246	112696	146309	142085	129759	126221	120332	121560	115929	129529	127092	145952	
131116	136373	141433	139874	149597	139846	142099	133823	123836	138728	125878	150738	135159	132885	118192	144821	139320	140436	131753	141279	166733	154215	140301	138875	151536	138498	159436	127116	128678	148871	116620	141652	134758	148687	124065	150108	122468	131160	115507	139831	151001	122754	146127	123523	125156	142651	132054	121647	165413	137275	130450	131999	139974	137971	140040	138974	130834	156553	
158154	146259	155813	139143	144204	140990	154285	152491	142736	143260	125831	160183	152648	140210	142311	146379	138209	159082	140424	144182	161782	148490	152092	149914	144082	151492	160908	151622	131163	152418	128507	159863	136618	156628	151854	154072	136020	149851	139974	167483	161365	143357	151798	150609	148337	152761	127523	138631	166143	154424	155860	157807	157855	144252	147707	170502	149066	160511	
145978	159856	161466	153960	154410	148577	162277	151830	145660	144759	144813	174963	163582	142151	145634	163631	149169	151354	156781	148101	168296	158408	158813	150389	176714	147084	171820	158294	148218	167529	136299	159880	140685	174975	153568	151854	145897	151305	125840	157768	170218	161006	148915	140533	146368	158499	130439	146679	175755	162979	157111	140532	151157	163482	160307	161302	156230	171522	
156763	156704	182206	168355	155682	147386	173402	168587	166458	148261	138066	197055	162759	153505	150684	166713	146567	169981	150253	148372	181038	175596	157356	150835	185631	172485	191327	159990	146585	168228	135911	170310	138950	168143	167004	171969	157029	157808	126524	163557	185892	171001	160269	148040	158089	177348	143410	154910	186451	166687	159768	156327	161176	164987	163189	170054	164455	189250	
