52949	57569	45224	37218	50659	57651	64368	49944	55365	49183	62869	57526	52059	49869	45865	75686	65360	52740	52182	57265	55870	62751	44671	45329	66529	
75985	84554	65573	54258	68101	74671	87106	68381	74723	68815	71600	82874	66017	70067	64431	89727	93365	64167	75481	68465	75484	81046	67485	59674	87516	
57009	63417	46783	42261	46314	66518	73121	49340	55123	54440	65590	67013	54076	61498	58065	67481	81114	46909	65825	48922	66506	63444	53320	44127	68003	
50615	62464	56449	36062	52298	62475	62852	43296	46247	57595	57222	64289	49583	60171	51166	72814	67319	45063	54696	48147	52841	54509	56990	51846	78360	
48229	50601	37043	35281	39587	58249	60574	42398	43579	45214	54015	52870	50231	49705	41965	61852	66263	47025	47142	43302	54469	54911	41131	41146	58580	
42448	51397	28650	37697	40057	54069	53096	43590	45616	36861	52178	46358	45296	48722	42762	58311	63084	43407	49996	41990	52891	52297	40061	35900	50778	
56883	59739	44303	38803	49953	64798	59633	44484	53032	44462	52757	60635	46567	58576	48807	73156	67127	50403	53425	42613	55211	61103	41710	45055	71999	
66940	68942	60235	48592	49427	63082	73847	61196	61929	63606	63370	69701	60452	61377	54081	78155	74284	58400	64399	66656	62378	64191	58689	54325	74930	
53380	55974	46594	33485	39500	50490	59187	44731	43939	44594	51852	58896	42175	50056	49997	61595	69831	44080	55194	42600	52637	51593	45813	45820	62907	
61292	68747	54628	46285	53466	58495	78332	59178	58953	65770	64378	74292	63114	62850	58402	74368	80529	57792	62694	68450	55819	67321	58746	55692	77263	
63657	66766	51826	49344	58393	70013	68373	60589	66923	54644	64139	73649	55569	67719	54744	76596	74923	60591	67308	56869	71599	74164	59486	45831	79134	
53814	60141	49637	39242	48684	57905	65690	45179	51906	52686	57230	58904	49686	66486	53968	69783	79358	49802	54242	46742	55818	61463	46761	46859	74618	
69699	73453	55899	45303	63956	72759	77796	54870	70755	57645	66679	78783	58492	61016	53166	78362	78679	62107	66993	51224	77456	70521	55765	47719	71430	
55177	61894	48150	41153	48512	50279	61771	54634	45468	47367	53795	58171	51429	56266	52126	68775	72367	58539	58157	45126	55650	50590	48231	46586	61919	
58848	71219	47285	34894	48417	65297	76652	50680	55314	52327	64272	65782	55362	59609	55774	76864	82210	51971	59945	54183	65777	65766	49079	48071	72716	
61817	57182	56924	45945	50000	59059	60546	57171	55752	52540	56050	70493	50483	66263	55254	71099	72844	58345	67800	45030	60580	56991	55509	47773	71361	
51508	61856	41564	36454	43937	58064	58922	47369	53061	50318	58366	56944	48624	62938	49836	67645	71371	46053	54507	55484	56328	66591	48778	46902	73215	
46154	59611	39848	34734	40779	53123	63891	49443	50194	46845	51278	55018	44360	53101	47293	62355	70832	44287	54351	48591	56408	55432	50479	41049	57029	
47129	58930	40490	39715	49766	53067	60097	35622	52446	49527	55365	52619	38465	46535	43107	64371	66877	49064	47957	47968	54555	53611	46631	43788	62526	
63485	62902	52491	41373	51555	64044	69454	51018	51928	53393	60034	69312	49398	58557	52182	69639	75426	59974	61801	43102	68736	59236	55242	50016	73615	
74690	85621	65974	55007	58427	81970	85180	66460	66371	70557	75171	80585	67208	81556	69376	89875	101968	70589	78486	64295	79437	77148	69773	59890	94629	
52141	56663	46427	39398	44847	63407	62695	55194	54731	47695	58967	67364	47770	60747	48812	66171	64388	53644	53812	49069	68995	60012	53672	39604	68720	
45998	44234	36101	32373	37788	44946	54410	31104	35952	41215	46827	48345	35997	40206	40908	54651	66059	37171	44998	35554	42828	43954	37567	37604	59020	
57083	57379	56975	39301	53396	59536	66529	48833	57074	57020	49157	69687	50692	64746	46494	70365	62613	54587	52525	49306	50175	53470	51268	55538	75156	
75075	81200	62506	56420	67942	74998	84820	65921	75833	70885	74797	84770	62978	76872	62450	91860	95964	60445	71385	72005	82736	80642	74127	63236	94271	
Execution time: 123 microseconds
